GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Go2,default,Board.new ActionListener() {...},8,6,0,0,3,1,1,1,1,1
Go2,default,Board,108,813,12,54,21,147,9,33,1,7
Go2,default,Board.new ActionListener() {...},8,6,0,0,3,1,1,1,1,1
Go2,default,Board.new ActionListener() {...},8,6,0,0,3,1,1,1,1,1
Go2,default,Board.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Go2,default,Board.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
Go2,default,Board.new ActionListener() {...},2,66,1,5,0,11,1,4,0,2
Go2,default,Board.new ActionListener() {...},0,75,2,6,0,9,2,4,0,2
Go2,default,Main,8,0,0,0,3,0,2,0,2,0
Go2,default,Stone,29,251,0,8,6,56,3,20,3,16
